"geoid","geoname","total"
"1500000US420010301011","Block Group 1, Census Tract 301.01, Adams County, Pennsylvania","1043"
"1500000US420010301012","Block Group 2, Census Tract 301.01, Adams County, Pennsylvania","1603"
"1500000US420010301031","Block Group 1, Census Tract 301.03, Adams County, Pennsylvania","2375"
"1500000US420010301041","Block Group 1, Census Tract 301.04, Adams County, Pennsylvania","1109"
"1500000US420010301042","Block Group 2, Census Tract 301.04, Adams County, Pennsylvania","2315"
"1500000US420010302001","Block Group 1, Census Tract 302, Adams County, Pennsylvania","1922"
"1500000US420010302002","Block Group 2, Census Tract 302, Adams County, Pennsylvania","2268"
"1500000US420010302003","Block Group 3, Census Tract 302, Adams County, Pennsylvania","1156"
"1500000US420010303001","Block Group 1, Census Tract 303, Adams County, Pennsylvania","2145"
"1500000US420010303002","Block Group 2, Census Tract 303, Adams County, Pennsylvania","2292"
"1500000US420010304001","Block Group 1, Census Tract 304, Adams County, Pennsylvania","1414"
"1500000US420010304002","Block Group 2, Census Tract 304, Adams County, Pennsylvania","907"
"1500000US420010304003","Block Group 3, Census Tract 304, Adams County, Pennsylvania","1205"
"1500000US420010304004","Block Group 4, Census Tract 304, Adams County, Pennsylvania","1232"
"1500000US420010304005","Block Group 5, Census Tract 304, Adams County, Pennsylvania","785"
"1500000US420010305001","Block Group 1, Census Tract 305, Adams County, Pennsylvania","2140"
"1500000US420010305002","Block Group 2, Census Tract 305, Adams County, Pennsylvania","1635"
"1500000US420010306001","Block Group 1, Census Tract 306, Adams County, Pennsylvania","1495"
"1500000US420010306002","Block Group 2, Census Tract 306, Adams County, Pennsylvania","1328"
"1500000US420010306003","Block Group 3, Census Tract 306, Adams County, Pennsylvania","2028"
"1500000US420010307001","Block Group 1, Census Tract 307, Adams County, Pennsylvania","1446"
"1500000US420010307002","Block Group 2, Census Tract 307, Adams County, Pennsylvania","2158"
"1500000US420010307003","Block Group 3, Census Tract 307, Adams County, Pennsylvania","1758"
"1500000US420010307004","Block Group 4, Census Tract 307, Adams County, Pennsylvania","1062"
"1500000US420010308011","Block Group 1, Census Tract 308.01, Adams County, Pennsylvania","1704"
"1500000US420010308012","Block Group 2, Census Tract 308.01, Adams County, Pennsylvania","1721"
"1500000US420010308021","Block Group 1, Census Tract 308.02, Adams County, Pennsylvania","829"
"1500000US420010308022","Block Group 2, Census Tract 308.02, Adams County, Pennsylvania","713"
"1500000US420010308031","Block Group 1, Census Tract 308.03, Adams County, Pennsylvania","1252"
"1500000US420010308032","Block Group 2, Census Tract 308.03, Adams County, Pennsylvania","1462"
"1500000US420010309011","Block Group 1, Census Tract 309.01, Adams County, Pennsylvania","1868"
"1500000US420010309012","Block Group 2, Census Tract 309.01, Adams County, Pennsylvania","1699"
"1500000US420010309021","Block Group 1, Census Tract 309.02, Adams County, Pennsylvania","1981"
"1500000US420010309022","Block Group 2, Census Tract 309.02, Adams County, Pennsylvania","2256"
"1500000US420010310001","Block Group 1, Census Tract 310, Adams County, Pennsylvania","2310"
"1500000US420010311011","Block Group 1, Census Tract 311.01, Adams County, Pennsylvania","1353"
"1500000US420010311012","Block Group 2, Census Tract 311.01, Adams County, Pennsylvania","1724"
"1500000US420010311013","Block Group 3, Census Tract 311.01, Adams County, Pennsylvania","2100"
"1500000US420010311021","Block Group 1, Census Tract 311.02, Adams County, Pennsylvania","3465"
"1500000US420010312011","Block Group 1, Census Tract 312.01, Adams County, Pennsylvania","1834"
"1500000US420010312012","Block Group 2, Census Tract 312.01, Adams County, Pennsylvania","385"
"1500000US420010312013","Block Group 3, Census Tract 312.01, Adams County, Pennsylvania","1570"
"1500000US420010312021","Block Group 1, Census Tract 312.02, Adams County, Pennsylvania","1344"
"1500000US420010312022","Block Group 2, Census Tract 312.02, Adams County, Pennsylvania","1500"
"1500000US420010312031","Block Group 1, Census Tract 312.03, Adams County, Pennsylvania","1717"
"1500000US420010312032","Block Group 2, Census Tract 312.03, Adams County, Pennsylvania","1338"
"1500000US420010313001","Block Group 1, Census Tract 313, Adams County, Pennsylvania","1465"
"1500000US420010313002","Block Group 2, Census Tract 313, Adams County, Pennsylvania","1815"
"1500000US420010313003","Block Group 3, Census Tract 313, Adams County, Pennsylvania","1523"
"1500000US420010314011","Block Group 1, Census Tract 314.01, Adams County, Pennsylvania","1077"
"1500000US420010314012","Block Group 2, Census Tract 314.01, Adams County, Pennsylvania","1192"
"1500000US420010314013","Block Group 3, Census Tract 314.01, Adams County, Pennsylvania","1452"
"1500000US420010314014","Block Group 4, Census Tract 314.01, Adams County, Pennsylvania","1024"
"1500000US420010314021","Block Group 1, Census Tract 314.02, Adams County, Pennsylvania","1008"
"1500000US420010314022","Block Group 2, Census Tract 314.02, Adams County, Pennsylvania","1280"
"1500000US420010315011","Block Group 1, Census Tract 315.01, Adams County, Pennsylvania","2100"
"1500000US420010315012","Block Group 2, Census Tract 315.01, Adams County, Pennsylvania","1057"
"1500000US420010315021","Block Group 1, Census Tract 315.02, Adams County, Pennsylvania","1092"
"1500000US420010315022","Block Group 2, Census Tract 315.02, Adams County, Pennsylvania","955"
"1500000US420010315023","Block Group 3, Census Tract 315.02, Adams County, Pennsylvania","734"
"1500000US420010315024","Block Group 4, Census Tract 315.02, Adams County, Pennsylvania","1168"
"1500000US420010316001","Block Group 1, Census Tract 316, Adams County, Pennsylvania","997"
"1500000US420010316002","Block Group 2, Census Tract 316, Adams County, Pennsylvania","825"
"1500000US420010316003","Block Group 3, Census Tract 316, Adams County, Pennsylvania","1144"
"1500000US420010316004","Block Group 4, Census Tract 316, Adams County, Pennsylvania","1974"
"1500000US420010316005","Block Group 5, Census Tract 316, Adams County, Pennsylvania","2198"
"1500000US420010317001","Block Group 1, Census Tract 317, Adams County, Pennsylvania","1139"
"1500000US420010317002","Block Group 2, Census Tract 317, Adams County, Pennsylvania","1687"
"1500000US420030103011","Block Group 1, Census Tract 103.01, Allegheny County, Pennsylvania","1807"
"1500000US420030103021","Block Group 1, Census Tract 103.02, Allegheny County, Pennsylvania","3326"
"1500000US420030103022","Block Group 2, Census Tract 103.02, Allegheny County, Pennsylvania","749"
"1500000US420030201001","Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","1763"
"1500000US420030201002","Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","1134"
"1500000US420030201003","Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","710"
"1500000US420030201004","Block Group 4, Census Tract 201, Allegheny County, Pennsylvania","144"
"1500000US420030201005","Block Group 5, Census Tract 201, Allegheny County, Pennsylvania","978"
